DW08   -116.4699   33.4672    1.1120
DW09   -116.4696   33.4674    1.1160
DW10   -116.4694   33.4677    1.1220
DW11   -116.4706   33.4660    1.0880
DW12   -116.4703   33.4664    1.0910
DWRPT  -116.4776   33.4607    1.2800
ELC    -115.5356   32.7814   -0.0410
ELKS   -116.4496   33.5813    1.1690
ELS2   -117.4260   33.6491    0.8440
EML    -116.8457   32.8908    0.1610
ERR    -115.8227   33.1168   -0.0560
EW2    -116.4084   33.9406    0.6390
EWC    -116.3822   33.9372    0.4660
FHO    -116.9359   34.0936    1.6140
FLV    -117.0619   32.9114    0.2980
FLV2   -117.0619   32.9114    0.2780
FON    -117.4388   34.0996    0.3888
FOST   -116.7267   33.7589    1.7940
FRD    -116.6022   33.4947    1.1640
FSE    -116.5926   33.0057    1.7080
FUL    -117.9225   33.8717    0.0510
GARR   -116.6708   33.5918    1.4420
GLAC   -116.4781   33.6014    1.1690
GMA    -116.3826   34.2915    0.8480
GOR    -117.2292   33.1537    0.1380
GSA    -118.1283   34.1368    0.2340
GVA01  -116.6730   33.6688    1.3410
GVA02  -116.6730   33.6688    1.3410
GVA03  -116.6730   33.6688    1.3410
GVA04  -116.6730   33.6688    1.3410
GVA05  -116.6730   33.6688    1.3410
GVA06  -116.6730   33.6688    1.3410
GVA07  -116.6730   33.6688    1.3410
GVA08  -116.6730   33.6688    1.3410
GVAR1  -116.7066   33.6663    1.3280
GVDA   -116.6730   33.6688    1.3410
GVR    -118.1200   34.0497    0.1410
HAY    -115.6389   33.7073    0.4580
HLN    -117.2190   34.1213    0.3589
HMT2   -117.0015   33.7081    0.5930
HOL    -117.8454   34.4583    1.2670
HSSP   -116.6641   33.5847    1.3880
HWB    -116.9596   33.0262    0.4780
IBP    -116.0929   32.6611    0.8790
IDO    -116.2215   33.7968    0.4690
IKP    -116.1095   32.6501    0.9060
IMP    -115.5607   32.9015   -0.0270
IPT    -117.2850   34.1970    0.9430
IWR    -116.7676   33.7294    1.4640
JCS    -116.5959   33.0859    1.2640
JEM    -116.5975   33.0810    1.3080
JF00   -116.4023   33.4233    0.6600
JFN1   -116.4020   33.4236    0.6570
JFN2   -116.4018   33.4237    0.6590
JFN3   -116.4016   33.4239    0.6610
JFN4   -116.4009   33.4246    0.6670
JFS1   -116.4025   33.4232    0.6630
JFS2   -116.4026   33.4231    0.6600
JFS3   -116.4028   33.4229    0.6570
JFS4   -116.4038   33.4223    0.6590
JNH2   -117.9554   34.4489    1.3050
JOHN   -116.4597   33.6118    1.2680
JORD   -116.6450   33.4722    1.2350
JOSE   -116.4597   33.6118    1.2680
JVA    -116.6127   34.3662    0.9040
KIK    -118.1016   34.1504    0.2372
KLCI   -116.8859   33.7119    0.6460
KML    -117.8791   33.5974    0.0090
KNW    -116.7119   33.7141    1.5070
KYV    -116.1734   33.9254    1.4982
